ls.names,ls.viz,ls.questions,ls.timestamp,ls.correct,ls.payment,,ls.names,ls.viz,ls.questions,ls.timestamp,ls.correct,ls.payment,,ls.names,ls.viz,ls.questions,ls.timestamp,ls.correct,ls.payment
PpXojivkwpZLtvhh7,chart,12,1476464176374,11,3,,6uWMQQ6rvPijqaHNb,dots,13,1476461889586,12,3,,obXkTyEzXzSrubofE,series,12,1476471063538,9,1.5
Y8eiaT7fnGm8vH2s9,chart,12,1476464768601,11,3,,WP5PCfQxB3wEAurmg,dots,15,1476459993873,13,3,,iACT8Wc9PosXt7xH6,series,12,1476467471479,10,1.5
zncMWhGYQGmJSzXqa,chart,12,1476464106940,12,3,,Y7coXzMoYbF2ktuiK,dots,15,1476693464192,6,0.5,,DAK7qCYagGXaKmTZy,series,12,1476467555716,10,1.5
g5GEZn5hfoCkLqBLv,chart,12,1476465210228,12,3,,whoCwcBHkH2qigHRq,dots,16,1476460126656,10,1.5,,KBG93DoQC4YeksP73,series,12,1476468164626,10,1.5
dYCJXPSnQ9T3YobK4,chart,12,1476466408842,12,3,,oTWN3XnRXhqpNGZsP,dots,18,1476460448374,12,3,,EbtiYzqZtKd68LSjv,series,12,1476468358747,10,1.5
w9xJDy63X4ixWuFvo,chart,12,1476469080547,12,3,,LHMtg4o7REozFZQst,dots,21,1476460833091,7,0.5,,SphgvbbrKkYNYaWNd,series,12,1476469435437,10,1.5
Hz4Kmy7AgCi4FEi6A,chart,15,1476465626999,4,0.5,,5L4DdJBz8gq2Fug2c,dots,21,1476463908234,16,3,,eJLcPS8n3aLYMZetQ,series,12,1476469850316,10,1.5
Y8MQD9crBw3XCtvHa,chart,19,1476465992643,9,1.5,,7mkiJ4PwnZGd2X5r3,dots,31,1476462032012,31,3,,KDkcqMDJgbEfuyecm,series,12,1476470351880,10,1.5
vKEtys3s8MppqDY9s,chart,25,1476465687073,22,3,,,,,,,,,83NZFPecaGdFaxyyt,series,12,1476474915228,10,1.5
op7kCpeMH7kgetiMX,chart,29,1476464527177,25,3,,,,,,,,,6zyqucmdag4Xa4iSN,series,14,1476467115795,10,1.5
,,,,,,,,,,,,,,CBdaPJBEBq2xTJvgi,series,12,1476467477042,11,3
,,,,,28.5,,,,,,,19.5,,jbuSnNTzpPv7iQPGq,series,12,1476467575095,11,3
,,,,,,,,,,,,,,NisupxDZ8oQayBpB5,series,12,1476471257147,11,3
,,,,,,,,,,,,,,T9MpgtZq3LAy2rhjX,series,14,1476468198369,11,3
,,,,,,,,,Big total:,90,,,,dLfWKPg4vzZENza7s,series,12,1476467782423,12,3
,,,,,,,,,,,,,,CzQsYF2oyREYEL3px,series,12,1476467893603,12,3
,,,,,,,,,,,,,,67e6Jh7hWzotbX4Er,series,17,1476468787847,10,1.5
,,,,,,,,,,,,,,vF6k2cJjTXN2jH9Jj,series,18,1476467400688,17,3
,,,,,,,,,,,,,,kJCFGZGPqBPM5NiEu,series,18,1476469527205,16,3
,,,,,,,,,,,,,,fnybrL5hbku3RuxsW,series,19,1476467565723,10,1.5
,,,,,,,,,,,,,,TZKHo2T9ywkiKhPyX,series,19,1476474437566,11,3
,,,,,,,,,,,,,,ZHNtTdcsi2rTaqr3H,series,25,1476467818906,23,3
,,,,,,,,,,,,,,uf8PMATFx4hCcscLz,series,27,1476471744373,10,1.5
,,,,,,,,,,,,,,We3Btupw8RnuCSnYC,series,28,1476467641693,26,3
,,,,,,,,,,,,,,8mqew4zMANoi4fjsz,series,34,1476467054057,32,3
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,42
